window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
全程,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.3401699083000422,0.050684598803701936,0.3235294222831726,0.3235294222831726,0.3942377746105194,0.3372285152707249,0.34340660802684725,1000,7.0
全程,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,8.0
末100,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,100,1.0
末100,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5621523012220859,0.1573735798497455,0.3333333432674408,0.5874015986919403,0.75,0.5285740066453815,0.5916191479682923,100,2.0
末100,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,100,3.0
末100,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,100,3.0
末100,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,100,3.0
末100,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.4159291982650757,0.0,0.4159291982650757,0.4159291982650757,0.4159291982650757,0.4159291982650757,0.4159291982650757,100,4.0
末100,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.3235294222831726,0.0,0.3235294222831726,0.3235294222831726,0.3235294222831726,0.3235294222831726,0.3235294222831726,100,5.0
末100,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6.0
末300,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,300,1.0
末300,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5633550999214253,0.1406773260373243,0.35289650678634643,0.5786629974842072,0.7359978199005128,0.5474250911604613,0.5794406856954097,300,2.0
末300,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,300,3.0
末300,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,300,3.0
末300,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,0.5,0.5,0.5,0.5,0.5,300,3.0
末300,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.4159291982650757,0.0,0.4159291982650757,0.4159291982650757,0.4159291982650757,0.4159291982650757,0.4159291982650757,300,4.0
